train_mae_step,epoch,step,valid_loss,valid_mae,train_mae_epoch,train_loss,test_loss,test_mae
,33,203,114931.8046875,230.42471313476562,,,,
,33,203,,,240.9912872314453,129828.609375,,
162.4853515625,34,204,,,,,,
212.04638671875,34,209,,,,,,
,34,209,115960.3671875,234.58935546875,,,,
,34,209,,,237.09446716308594,135628.921875,,
253.19873046875,35,214,,,,,,
,35,215,111678.09375,227.34010314941406,,,,
,35,215,,,215.77706909179688,112973.0546875,,
252.94300842285156,36,219,,,,,,
,36,221,143106.265625,250.3428192138672,,,,
,36,221,,,235.88873291015625,130526.1796875,,
224.23797607421875,37,224,,,,,,
,37,227,135920.3125,244.79563903808594,,,,
,37,227,,,245.51742553710938,137456.234375,,
245.49649047851562,38,229,,,,,,
,38,233,107365.1015625,239.95533752441406,,,,
,38,233,,,230.76611328125,119372.8203125,,
250.97808837890625,39,234,,,,,,
199.40927124023438,39,239,,,,,,
,39,239,102426.09375,217.9508819580078,,,,
,39,239,,,220.84933471679688,101171.671875,,
219.94033813476562,40,244,,,,,,
,40,245,111266.46875,222.0341339111328,,,,
,40,245,,,225.5830078125,113683.8828125,,
207.25698852539062,41,249,,,,,,
,41,251,109882.3046875,220.71649169921875,,,,
,41,251,,,219.1950225830078,112247.2265625,,
179.76083374023438,42,254,,,,,,
,42,257,96417.3046875,224.04803466796875,,,,
,42,257,,,212.2408905029297,94067.859375,,
196.39434814453125,43,259,,,,,,
,43,263,98547.6796875,225.19349670410156,,,,
,43,263,,,252.09515380859375,147602.65625,,
193.59515380859375,44,264,,,,,,
191.9988555908203,44,269,,,,,,
,44,269,94222.140625,211.94857788085938,,,,
,44,269,,,226.01181030273438,112292.171875,,
219.92010498046875,45,274,,,,,,
,45,275,104263.078125,215.213623046875,,,,
,45,275,,,213.7154083251953,97885.5859375,,
176.6936798095703,46,279,,,,,,
,46,281,132240.90625,276.9994812011719,,,,
,46,281,,,230.00067138671875,131006.375,,
193.14007568359375,47,284,,,,,,
,47,287,101768.8203125,226.17408752441406,,,,
,47,287,,,256.12811279296875,141455.734375,,
255.47824096679688,48,289,,,,,,
,48,293,121186.953125,263.9839172363281,,,,
,48,293,,,205.27108764648438,89826.859375,,
338.384521484375,49,294,,,,,,
198.86727905273438,49,299,,,,,,
,49,299,104098.5703125,229.50115966796875,,,,
,49,299,,,236.13348388671875,108526.8125,,
,50,300,,,,,104098.5703125,229.50115966796875
